Date,BRL=X,BTC-USD,ITUB3.SA,PETR4.SA,VALE3.SA,^BVSP,BRL=X %,BTC-USD %,ITUB3.SA %,PETR4.SA %,VALE3.SA %,^BVSP %,BRL=X V,BTC-USD V,ITUB3.SA V,PETR4.SA V,VALE3.SA V,^BVSP V
2022-07-07,5.427999973297119,21637.587890625,14.148626327514648,13.697982788085938,60.586605072021484,100730.0,0.007947699149154053,0.053013857820514154,0.018013444089512998,0.029273364782330447,0.029066580915518836,0.02037095189375915,0.0,25814972520,717090.0,52147300.0,34251200.0,12696300.0
2022-07-08,5.338200092315674,21731.1171875,14.177242279052734,13.851893424987793,59.189292907714844,100289.0,-0.016543824875315583,0.004322538045727464,0.0020225250759811075,0.011236007467882114,-0.023063054327695176,-0.0043780403057679385,0.0,49899834488,509190.0,43097800.0,24149200.0,9730400.0
2022-07-09,,21592.20703125,,,,,0.0,-0.006392223420980114,0.0,0.0,0.0,0.0,,29641127858,,,,
2022-07-10,,20860.44921875,,,,,0.0,-0.03388990349346599,0.0,0.0,0.0,0.0,,28688807249,,,,
2022-07-11,5.254000186920166,19970.556640625,13.998419761657715,13.784557342529297,57.171836853027344,98212.0,-0.015773089044884836,-0.04265931997884009,-0.012613349893810799,-0.0048611464434910046,-0.03408481425573073,-0.020710147673224433,0.0,24150249025,402380.0,39577600.0,22076800.0,8893400.0
2022-07-12,5.377200126647949,19323.9140625,13.99126148223877,13.577739715576172,57.34454345703125,98271.0,0.023448788607676407,-0.03237979740682695,-0.0005113633924989092,-0.015003574058561453,0.0030208335696453315,0.000600741253614645,0.0,25810220018,523050.0,46462000.0,22460000.0,12566300.0
2022-07-13,5.436500072479248,20212.07421875,13.95549488067627,13.587363243103027,57.14828872680664,97881.0,0.011028034001826503,0.04596171114078618,-0.002556352878395174,0.0007087724266665596,-0.00342237845823401,-0.003968617394755292,0.0,33042430345,817740.0,35497200.0,22980800.0,12208100.0
2022-07-14,5.390900135040283,20569.919921875,13.755213737487793,13.221824645996094,53.34101486206055,96121.0,-0.008387737851747956,0.017704551212910147,-0.014351418197702137,-0.026902835418967874,-0.06662096012964613,-0.01798101776647154,0.0,31158743333,526020.0,47151000.0,57715800.0,12579000.0
2022-07-15,5.422800064086914,20836.328125,14.027026176452637,13.447876930236816,53.670719146728516,96551.0,0.005917365977396782,0.012951348577769028,0.019760684504964043,0.017096905328356282,0.00618106508698002,0.004473528157218576,0.0,25905575359,432080.0,38610800.0,36589000.0,11347600.0
2022-07-16,,21190.31640625,,,,,0.0,0.01698899533192111,0.0,0.0,0.0,0.0,,24302954056,,,,
2022-07-17,,20779.34375,,,,,0.0,-0.01939436147960416,0.0,0.0,0.0,0.0,,22927802083,,,,
2022-07-18,5.410099983215332,22485.689453125,14.141471862792969,13.75570011138916,53.95332336425781,96916.0,-0.0023419784468340366,0.08211740099467768,0.008158941524786911,0.022890095049890036,0.005265519486643999,0.0037803854957483285,0.0,39974475562,256190.0,46782300.0,22131300.0,10738200.0
2022-07-19,5.436800003051758,23389.43359375,14.527743339538574,14.034663200378418,54.071067810058594,98245.0,0.004935217448709173,0.0401919693193753,0.027314800078336088,0.02027981758327857,0.002182339074941586,0.013712906021709603,0.0,48765202697,1030590.0,48562300.0,21785500.0,10295900.0
2022-07-20,5.413099765777588,23231.732421875,14.284538269042969,14.029850959777832,52.90141296386719,98287.0,-0.004359225511489595,-0.006742410894342465,-0.016740732873060882,-0.00034288251394987146,-0.02163180594657721,0.00042750267189162194,0.0,42932549127,619410.0,43520800.0,40427400.0,12941700.0
2022-07-21,5.470200061798096,23164.62890625,14.420441627502441,13.957707405090332,53.82771682739258,99033.0,0.01054853937507394,-0.0028884421706671937,0.00951401829725218,-0.0051421469047909785,0.017510002316158957,0.007590016991056769,0.0,33631012204,450780.0,58843200.0,26987300.0,10060000.0
2022-07-22,5.497799873352051,22714.978515625,14.291687965393066,14.106806755065918,54.330116271972656,98925.0,0.005045484852867155,-0.01941107679491816,-0.008928551942807172,0.010682223494756116,0.009333471196467436,-0.0010905455757171945,0.0,31421555646,326590.0,55676200.0,27884000.0,10033500.0
2022-07-23,,22465.478515625,,,,,0.0,-0.010983941711781742,0.0,0.0,0.0,0.0,,24021799169,,,,
2022-07-24,,22609.1640625,,,,,0.0,0.006395837363315726,0.0,0.0,0.0,0.0,,23565495303,,,,
2022-07-25,5.496699810028076,21361.701171875,14.484819412231445,14.765734672546387,55.334922790527344,100270.0,-0.00020009155467926032,-0.05517510011323534,0.013513550485152015,0.04670992726570389,0.01849446655929654,0.013596158706090433,0.0,35574561406,258500.0,79106600.0,19833200.0,8621800.0
2022-07-26,5.356299877166748,21239.75390625,14.413288116455078,14.914834976196289,55.232872009277344,99772.0,-0.02554258695466416,-0.005708686992848544,-0.004938362967505383,0.010097723340994458,-0.0018442382514261002,-0.004966590206442634,0.0,28624673855,310530.0,78360100.0,19791500.0,9136600.0
2022-07-27,5.350100040435791,22930.548828125,14.398987770080566,15.078362464904785,55.35847473144531,101438.0,-0.0011574849939575138,0.0796052030234431,-0.0009921640543759658,0.01096408300658247,0.0022740574154258564,0.016698071603255427,0.0,31758955233,373230.0,56097200.0,21666900.0,10263100.0
2022-07-28,5.243000030517578,23843.88671875,14.484819412231445,15.530477523803711,55.4919319152832,102597.0,-0.020018319117167227,0.0398306162434614,0.0059609497223982455,0.029984360699063517,0.0024107814473812716,0.011425698456199784,0.0,40212386158,266200.0,114996500.0,21778700.0,11130000.0
2022-07-29,5.182700157165527,23804.6328125,14.50627613067627,16.42507553100586,54.7540283203125,103165.0,-0.011501024795168346,-0.0016462880701044735,0.001481324539448936,0.05760273667251958,-0.013297493338260802,0.0055362242560699215,0.0,35887249746,717750.0,181480600.0,77006600.0,12934200.0
2022-07-30,,23656.20703125,,,,,0.0,-0.006235163651508224,0.0,0.0,0.0,0.0,,28148218301,,,,
2022-07-31,,23336.896484375,,,,,0.0,-0.013497960448739299,0.0,0.0,0.0,0.0,,23553591896,,,,
2022-08-01,5.171199798583984,23314.19921875,14.434263229370117,16.199020385742188,53.44306182861328,102225.0,-0.002218989760702783,-0.0009725914343493569,-0.004964258273966515,-0.013762807046880488,-0.02394283182289403,-0.009111617312072884,0.0,25849159141,688490.0,81365100.0,38874000.0,11626700.0
2022-08-02,5.184000015258789,22978.1171875,14.591781616210938,16.271163940429688,55.146522521972656,103362.0,0.002475289521458812,-0.014415336683737068,0.01091281102039976,0.004453575152667755,0.03187430950012193,0.011122523844460774,0.0,28389250717,363110.0,69147100.0,32636900.0,10124500.0
2022-08-03,5.277699947357178,22846.5078125,14.699174880981445,16.28078269958496,53.003456115722656,103775.0,0.018074832527505524,-0.0057275961266136655,0.007359845945830168,0.0005911537238816322,-0.03886131542376248,0.003995665718542707,0.0,26288169966,472450.0,65544500.0,31934600.0,12379600.0
2022-08-04,5.282700061798096,22630.95703125,14.992727279663086,16.45393180847168,52.69730758666992,105892.0,0.0009474040757890823,-0.009434736504108754,0.01997067189543089,0.010635183337416088,-0.005776010688516631,0.02039990363767763,0.0,25120229769,651420.0,54387500.0,40540800.0,15499000.0
2022-08-05,5.211100101470947,23289.314453125,15.243324279785156,16.771371841430664,53.38026809692383,106472.0,-0.013553667535456837,0.029091011085651708,0.016714570701355624,0.01929265519354728,0.012960064594014664,0.005477278736826241,0.0,28881249043,419760.0,77882600.0,36129300.0,12947500.0
2022-08-06,,22961.279296875,,,,,0.0,-0.014085221654344782,0.0,0.0,0.0,0.0,,15978259885,,,,
2022-08-07,,23175.890625,,,,,0.0,0.009346662498644243,0.0,0.0,0.0,0.0,,15886817043,,,,
2022-08-08,5.164599895477295,23809.486328125,15.408000946044922,17.617876052856445,53.8355712890625,108402.0,-0.008923299320334754,0.02733856978257987,0.010803199042229261,0.05047316459436213,0.008529428726584243,0.018126831467428106,0.0,28575544847,424710.0,109484600.0,35705300.0,12674600.0
2022-08-09,5.110099792480469,23164.318359375,15.837594985961914,17.906457901000977,54.95027542114258,108651.0,-0.0105526282964441,-0.02709709734425869,0.027881231408365403,0.016380058940064002,0.02070571752819017,0.0022970055903026587,0.0,23555719219,1088230.0,79051200.0,35174600.0,12147900.0
2022-08-10,5.123700141906738,23947.642578125,16.102508544921875,17.848743438720703,54.98952865600586,110236.0,0.0026614645464033693,0.033815983988709775,0.01672688051404103,-0.0032231088135553643,0.0007143410030694408,0.01458799274742062,0.0,32837431722,933350.0,78369600.0,30202200.0,13376200.0
2022-08-11,5.093699932098389,23957.529296875,16.181259155273438,17.43510627746582,56.904937744140625,109718.0,-0.005855184530214386,0.00041284726535173455,0.004890580255360044,-0.02317458159869934,0.03483225142948321,-0.004699009398018816,0.0,37127036580,702570.0,128896500.0,51158600.0,14944800.0
